indicativo,fecha,tmax,tmin,tmed,tmed_derivada,hrMax,hrMedia,hrMin,velmedia,racha,prec,prec_0707,sol,n_horas,completo
0002I,2026-07-28 00:00:00+00:00,31.4,25.7,28.65,28.55,85.0,70.7,60.0,1.91,6.2,0.0,0.0,,13,False
0009X,2026-07-28 00:00:00+00:00,32.5,22.5,28.76,27.5,89.0,62.8,49.0,2.22,7.1,0.0,0.0,,12,False
0016A,2026-07-28 00:00:00+00:00,31.9,25.7,29.47,28.8,86.0,66.8,55.0,4.6,9.8,0.0,0.0,554.0,13,False
0034X,2026-07-28 00:00:00+00:00,32.0,24.1,29.08,28.05,86.0,61.4,49.0,,,0.0,0.0,,12,False
0042Y,2026-07-28 00:00:00+00:00,30.7,26.3,28.69,28.5,81.0,71.2,63.0,2.31,7.8,0.0,0.0,,13,False
0061X,2026-07-28 00:00:00+00:00,30.4,21.5,27.0,25.95,66.0,46.9,38.0,5.38,10.5,0.0,0.0,,12,False
0066X,2026-07-28 00:00:00+00:00,33.7,24.7,30.42,29.2,85.0,59.1,45.0,2.18,8.8,0.0,0.0,,12,False
0073X,2026-07-28 00:00:00+00:00,31.8,26.2,29.32,29.0,81.0,69.1,61.0,2.66,8.3,0.0,0.0,,12,False
0076,2026-07-28 00:00:00+00:00,31.6,25.8,29.06,28.7,83.0,70.3,61.0,7.39,13.4,0.0,0.0,558.0,13,False
0092X,2026-07-28 00:00:00+00:00,34.4,25.9,30.93,30.15,60.0,45.7,33.0,3.55,9.3,0.0,0.0,,12,False
0106X,2026-07-28 00:00:00+00:00,35.8,26.5,32.19,31.15,52.0,41.0,34.0,4.44,10.7,0.0,0.0,,12,False
0114X,2026-07-28 00:00:00+00:00,35.3,21.9,30.73,28.6,67.0,41.6,32.0,1.93,7.6,0.0,0.0,,13,False
0120X,2026-07-28 00:00:00+00:00,32.2,22.9,28.38,27.55,69.0,49.9,32.0,2.68,10.3,0.0,0.0,,13,False
0131X,2026-07-28 00:00:00+00:00,36.8,23.3,31.92,30.05,66.0,35.5,20.0,2.02,7.2,0.0,0.0,,13,False
0149X,2026-07-28 00:00:00+00:00,35.8,25.0,31.19,30.4,69.0,44.2,34.0,3.32,10.8,0.0,0.0,584.0,13,False
0158X,2026-07-28 00:00:00+00:00,29.3,25.3,27.2,27.3,62.0,54.0,41.0,,,0.0,0.0,,10,False
0171F,2026-07-28 00:00:00+00:00,37.0,23.0,31.61,30.0,58.0,40.0,31.0,3.08,9.5,0.0,0.0,,13,False
0194D,2026-07-28 00:00:00+00:00,32.9,21.4,27.13,27.15,91.0,60.0,45.0,,,0.0,0.0,,12,False
0201D,2026-07-28 00:00:00+00:00,30.1,27.2,28.7,28.65,73.0,64.3,54.0,6.55,13.5,0.0,0.0,,13,False
0201X,2026-07-28 00:00:00+00:00,31.0,27.1,29.49,29.05,74.0,61.8,54.0,3.86,10.8,0.0,0.0,,12,False
0222X,2026-07-28 00:00:00+00:00,34.2,24.0,30.96,29.1,64.0,48.6,43.0,4.11,11.6,0.0,0.0,,12,False
0244X,2026-07-28 00:00:00+00:00,30.8,25.4,28.93,28.1,80.0,69.8,65.0,3.81,11.1,0.0,0.0,,13,False
0252D,2026-07-28 00:00:00+00:00,30.2,24.8,27.87,27.5,82.0,71.8,63.0,3.52,10.9,0.0,0.0,,13,False
0260X,2026-07-28 00:00:00+00:00,29.0,21.2,25.72,25.1,73.0,58.2,45.0,,,0.0,0.0,,12,False
0281Y,2026-07-28 00:00:00+00:00,31.5,26.1,28.85,28.8,82.0,68.4,55.0,4.98,12.5,0.0,0.0,,12,False
0284X,2026-07-28 00:00:00+00:00,30.5,25.6,28.32,28.05,82.0,73.0,68.0,2.83,9.8,0.0,0.0,,12,False
0312X,2026-07-28 00:00:00+00:00,30.0,21.0,26.67,25.5,90.0,63.5,46.0,1.81,6.5,0.0,0.0,,12,False
0324A,2026-07-28 00:00:00+00:00,36.1,21.5,30.18,28.8,88.0,48.5,26.0,2.27,8.1,0.0,0.0,,13,False
0360X,2026-07-28 00:00:00+00:00,34.0,21.9,29.66,27.95,85.0,60.2,45.0,0.69,4.4,0.0,0.0,,13,False
0363X,2026-07-28 00:00:00+00:00,32.5,21.2,28.21,26.85,81.0,55.9,43.0,1.51,5.9,0.0,0.0,,12,False
0367,2026-07-28 00:00:00+00:00,33.6,25.3,30.48,29.45,85.0,59.9,45.0,3.96,9.8,0.0,0.0,558.0,13,False
0370E,2026-07-28 00:00:00+00:00,34.2,26.3,31.3,30.25,73.0,51.2,39.0,2.22,7.1,0.0,0.0,,13,False
0372C,2026-07-28 00:00:00+00:00,35.2,25.1,30.98,30.15,76.0,53.5,39.0,2.45,8.2,0.0,0.0,,13,False
0385X,2026-07-28 00:00:00+00:00,29.5,26.6,28.03,28.05,78.0,72.6,69.0,3.54,9.2,0.0,0.0,,13,False
0394X,2026-07-28 00:00:00+00:00,32.8,23.8,29.55,28.3,83.0,55.5,40.0,2.35,8.9,0.0,0.0,,13,False
0411X,2026-07-28 00:00:00+00:00,29.8,25.0,27.94,27.4,90.0,77.4,64.0,2.82,9.9,0.0,0.0,,12,False
0413A,2026-07-28 00:00:00+00:00,32.0,23.7,29.04,27.85,82.0,59.2,46.0,1.54,5.6,0.0,0.0,,12,False
