indicativo,lat,lon,alt,ubi
0002I,40.95806,0.871385,32.0,VANDELLÓS
0009X,41.213892,0.963335,406.0,ALFORJA
0016A,41.145,1.163611,71.0,REUS  AEROPUERTO
0034X,41.293053,1.260838,233.0,VALLS
0042Y,41.123892,1.249167,55.0,TARRAGONA  FAC. GEOGRAFIA
0061X,41.417052,1.519269,632.0,PONTONS
0066X,41.330279,1.676942,177.0,VILAFRANCA DEL PENEDÈS
0073X,41.243784,1.852626,58.0,SITGES  VALLCARCA
0076,41.292781,2.069995,4.0,BARCELONA  AEROPUERTO
0092X,42.101388,1.857494,682.0,BERGA  INSTITUTO
0106X,41.866387,1.872504,361.0,BALSARENY
0114X,42.007057,2.026561,700.0,PRATS DE LLUÇANÈS
0120X,41.813278,2.09539,742.0,MOIÀ
0131X,41.947979,1.601584,609.0,RINER - XIXONS
0149X,41.719881,1.84028,291.0,MANRESA
0158X,41.594444,1.839223,738.0,MONTSERRAT
0171F,41.5875,1.599167,348.0,IGUALADA - MUNTANYETA
0194D,41.408192,1.885,647.0,CORBERA  PUIG D?AGULLES
0201D,41.390555,2.200001,26.0,BARCELONA  PORT OLÍMPIC
0201X,41.374998,2.173886,11.0,BARCELONA  DRASSANES
0222X,41.612663,2.168412,175.0,CALDES DE MONTBUI
0244X,41.504893,2.362637,56.0,VILASSAR DE DALT
0252D,41.587222,2.54,74.0,ARENYS DE MAR
0260X,41.760064,2.431023,936.0,FONTMARTINA
0281Y,41.677054,2.805112,45.0,BLANES  JARDIN BOTANICO
0284X,41.807814,3.030933,14.0,CASTELL D?ARO
0312X,42.258444,2.364353,851.0,SANT PAU DE SEGURIES
0324A,42.191387,2.196187,675.0,RIPOLL
0360X,42.052837,2.551007,337.0,LES PLANES D?HOSTOLES
0363X,41.880833,2.513329,810.0,SANT HILARI
0367,41.911665,2.763329,143.0,GIRONA  AEROPUERTO
0370E,41.972333,2.819442,76.0,GIRONA  PARC DEL MIGDIA
0372C,42.104444,2.763611,157.0,PORQUERES
0385X,42.053888,3.201389,1.0,L?ESTARTIT
0394X,42.210555,2.471827,350.0,VALL DE BIANYA
0411X,42.224834,3.093053,2.0,CASTELLO D?EMPURIES
0413A,42.386925,2.75558,355.0,MAÇANET DE CABRENYS
0421X,42.389881,3.006114,100.0,ESPOLLA  LES ALBERES
0429X,42.259082,2.960328,45.0,FIGUERES  ELS ASPRES
0433D,42.31904,3.315556,75.0,EVC_CABO DE CREUS
0433X,42.328889,3.206944,19.0,EL PORT DE LA SELVA
1002Y,43.135722,-1.542961,183.0,BAZTÁN  IRURITA
1010X,43.278691,-1.675786,54.0,BERA
1012P,43.326407,-1.796536,120.0,IRUN
1014A,43.357075,-1.792116,4.0,DONOSTIA/SAN SEBASTIÁN AEROPUERTO
1021X,43.213834,-1.878823,165.0,ERRENTERIA  AÑARBE
1024X,43.306389,-2.041111,250.6,IGELDO
1025A,43.015553,-2.256663,255.0,SEGURA
1025X,43.054634,-2.232037,255.0,BEASAIN  ARRIARAN
1026X,43.058158,-2.184273,290.0,ORDIZIA
1033X,43.084999,-1.950836,520.0,ARESO 
1037X,43.051797,-2.337095,460.0,LEGAZPI
1037Y,43.079917,-2.3175,430.67,ZUMARRAGA
1038X,43.172576,-2.267175,180.0,AZPEITIA
1041A,43.302139,-2.251035,28.0,ZUMAIA
1044X,43.057835,-2.589645,617.0,ARAMAIO  ETXAGUEN
1048X,43.02505,-2.465715,308.0,ARETXABALETA
1049N,43.138333,-2.495827,470.0,ELGETA
1050J,43.209293,-2.413218,119.0,ELGOIBAR
1052A,43.31722,-2.397148,150.0,MUTRIKU
1056K,43.342388,-2.671184,45.0,FORUA
1057B,43.453906,-2.752762,93.0,MATXITXAKO
1059X,43.375086,-3.021602,81.0,PUNTA GALEA 
1060X,43.050241,-3.005452,240.0,AMURRIO
1064L,43.096333,-2.860274,270.0,OROZKO  IBARRA
1069Y,43.099233,-2.644187,747.0,ABADIÑO  URKIOLA
1074C,43.202893,-2.706153,100.0,AMOREBIETA-ETXANO
1078C,43.180575,-3.209649,210.0,BALMASEDA
1078I,43.203384,-3.104777,208.0,GÜEÑES
1082,43.297952,-2.906304,42.0,BILBAO AEROPUERTO
1083B,43.279722,-3.168615,177.0,SOPUERTA
1089U,43.255834,-3.47083,80.0,RAMALES DE LA VICTORIA-ETAP
1096X,43.39667,-3.469721,10.0,TRETO
1103X,43.227556,-3.721084,849.0,SAN ROQUE DE RIOMERA-CARACOL
1109X,43.428613,-3.831385,3.0,SANTANDER AEROPUERTO
1111X,43.491054,-3.800431,50.96,SANTANDER CMT
1124E,43.2456,-3.849351,195.7,VILLACARRIEDO - SANTIBAÑEZ
1135C,43.146941,-4.214141,460.0,BÁRCENA MAYOR-TORIZ
1152C,43.271942,-4.048612,105.0,SAN FELICES DE BUELNA-TARRIBA
1154H,43.358515,-4.027419,110.0,TORRELAVEGA-SIERRAPANDO
1159,43.393456,-4.392103,38.0,SAN VICENTE-FARO
1167B,43.143893,-4.812779,1100.0,FUENTE DÉ-TELEFÉRICO
1167G,43.154869,-4.802929,1910.27,MIRADOR DEL CABLE  PARQUE NACIONAL PICOS DE EUROPA
1167H,43.176187,-4.834772,2330.62,CABAÑA VERÓNICA  PARQUE NACIONAL PICOS DE EUROPA
1167J,43.089184,-4.773842,1721.85,CORISCAO  PARQUE NACIONAL PICOS DE EUROPA
1174I,43.182862,-4.601783,250.0,TAMA
1176A,43.255713,-4.668234,940.0,TRESVISO
1178E,43.176023,-4.902024,678.0,CORDIÑANES  PARQUE NACIONAL PICOS DE EUROPA
1178I,43.202495,-4.820994,1970.0,VEGA DE URRIELLU  PARQUE NACIONAL PICOS DE EUROPA
1178M,43.243922,-4.921692,1650.69,VEGA DE ARIO  PARQUE NACIONAL PICOS DE EUROPA
1178R,43.237387,-4.736775,1235.71,SOTRES  PARQUE NACIONAL PICOS DE EUROPA
1178Y,43.145376,-4.931762,953.0,SOTO DE VALDEÓN (AUTOMATICA)
1179B,43.311112,-4.852774,458.0,CARREÑA DE CABRALES
1183J,43.439167,-4.849722,132.0,EVC_NIEMBRU-LLANES
1183X,43.420278,-4.748056,10.0,LLANES
1186P,43.266631,-5.119247,370.0,AMIEVA  PANIZALES
1191D,43.177372,-5.00172,1505.0,PICO COTORRA  PARQUE NACIONAL PICOS DE EUROPA
1199X,43.377836,-5.396674,280.0,BARGAÉU PILOÑA
1204X,43.513889,-5.282222,148.0,COLUNGA-LLUCES-ASPO
1207U,43.523056,-5.621111,25.8,GIJÓN-CAMPUS
1208H,43.559722,-5.700833,5.0,GIJÓN  MUSEL
1210X,43.655927,-5.848572,100.0,CABO PEÑAS
1212E,43.566941,-6.044173,127.0,ASTURIAS/AVILÉS
1221D,42.978608,-5.776392,1480.0,PAJARES - VALGRANDE
1223P,43.132706,-5.822748,370.0,RONZÓN
1226X,43.095177,-5.476919,750.0,CUEVAS DE FELECHOSA
1234P,43.274885,-5.819274,170.0,MIERES-BAÍÑA
1249X,43.353333,-5.873889,334.44,OVIEDO
1263X,43.237222,-6.473611,606.0,CANGAS DEL NARCEA-SAN PEDRU CULIEMA
1272B,43.290276,-6.386539,280.0,SOUTU  LA BARCA
1276F,43.1,-6.256944,670.0,POLA DE SOMIEDO-DEPURADORA
1279X,43.424999,-6.230729,240.0,CAMUÑO
1283U,43.569166,-6.469998,60.0,CABO BUSTO
1297E,42.768579,-7.017618,1020.0,CERVANTES-BAZAL
1302F,42.955269,-6.472407,1310.0,DEGAÑA  COTO CORTÉS
1309C,43.027413,-6.884876,780.0,SAN ANTOLIN DE IBIAS-LINARES
1327A,43.465552,-6.673332,410.0,ONETA
1331A,43.524444,-7.030833,40.0,CASTROPOL
1341B,43.415546,-7.06098,340.0,OURIA DE TARAMUNDI
1342X,43.540652,-7.082971,43.0,RIBADEO  VILAFRAMIL
1344X,43.431333,-7.361736,125.0,MONDOÑEDO
1347T,43.651046,-7.357091,80.0,BURELA
1351,43.786208,-7.684866,90.39,ESTACA DE BARES
1363X,43.445968,-7.861476,343.0,AS PONTES A AEROSA
1387,43.365969,-8.421517,57.07,A CORUÑA
1387D,43.363309,-8.441944,131.71,BENS-A CORUÑA
1387E,43.306954,-8.371975,98.0,A CORUÑA/ALVEDRO
1390X,43.203582,-8.711001,98.0,CARBALLO
1393,43.160558,-9.210829,50.0,CABO VILAN
1399,43.057445,-9.046929,287.0,VIMIANZO-CASTRELO
1400,42.924828,-9.291434,230.0,FISTERRA
1406X,42.93525,-8.99369,340.0,MAZARICOS-A PICOTA
1410X,43.037875,-8.022249,500.0,SOBRADO DOS MONXES
1428,42.888011,-8.410515,370.0,SANTIAGO DE COMPOSTELA/LAVACOLLA
1435C,42.800141,-8.876227,128.0,NOIA
1437P,42.720833,-8.923333,686.0,EVC_NOIA
1442U,42.643886,-8.892333,10.0,BOIRO
1446X,42.809722,-7.768333,680.0,MONTERROSO
1466A,42.700887,-8.257892,435.0,SILLEDA
1468X,42.69361,-8.501806,269.0,A ESTRADA
1473A,42.738333,-8.627222,100.0,PADRÓN
1475X,42.876111,-8.555833,240.0,SANTIAGO DE COMPOSTELA
1476R,42.749835,-8.714807,210.0,CASAS DO PORTO
1477V,42.584843,-8.774642,32.0,VILAGARCIA DE AROUSA
1484C,42.438333,-8.615833,113.3,PONTEVEDRA
1486E,42.394722,-8.706667,20.3,ESCUELA NAVAL DE MARÍN
1489A,42.407051,-8.451243,395.0,A LAMA
1495,42.238616,-8.623765,254.6,VIGO/PEINADOR
1496X,42.230556,-8.724167,120.0,VIGO-O CASTRO
1505,43.111111,-7.4575,442.18,LUGO/ROZAS
1518A,42.998333,-7.5525,442.0,LUGO-COL.FINGOI
1521I,42.845276,-7.499579,403.0,O PARAMO
1521X,42.863768,-7.18517,1080.0,BECERREA-PENAMAIOR
1535I,42.634718,-7.704444,560.0,EVC_O SAVIÑAO
1541B,42.928886,-6.333886,958.0,VILLABLINO
1542,42.994164,-6.414164,1530.0,PUERTO DE LEITARIEGOS
1549,42.563889,-6.6,532.01,PONFERRADA
1561I,42.76604,-6.673564,770.0,VILLAR DE OTERO (LOS TROBOS)
1583X,42.41562,-6.99314,315.0,O BARCO DE VALDEORRAS
1631E,42.339448,-7.282498,840.0,POBRA DE TRIVES SAN MAMEDE
1639X,42.260277,-7.383609,990.0,CHANDREXA DE QUEIXA
1658,42.58853,-7.191741,612.0,FOLGOSO DO COUREL
1679A,42.53177,-7.510804,291.0,MONFORTE DE LEMOS
1690A,42.325278,-7.859722,145.86,OURENSE
1696O,42.468056,-8.277961,610.0,BEARIZ
1700X,42.421389,-8.0925,400.0,O CARBALLIÑO
1701X,42.299881,-8.129121,112.0,RIBADAVIA
1706A,42.182902,-7.796051,492.0,ALLARIZ-RIMELO
1719,42.217995,-8.281009,560.0,A CAÑIZA
1723X,42.182223,-8.4927,90.0,PONTEAREAS-CANEDO
1730E,41.943981,-8.847444,55.0,O ROSAL
1735X,42.079167,-7.733611,616.0,XINZO DE LIMIA
1738U,41.934116,-7.988838,730.0,MUIÑOS-PRADO
1740,43.377241,-4.12433,150.0,ALTAMIRA
2005Y,41.967774,-2.782777,1197.0,VINUESA
2017Y,41.99583,-2.494163,1260.0,BARRIOMARTIN-EL ROBLEDO
2030,41.775015,-2.483063,1081.01,SORIA
2044B,41.600582,-2.507534,1100.0,LUBIA-CEDER
2048A,41.419442,-2.420281,978.0,MORON DE ALMAZAN 
2059B,41.349719,-2.783338,1042.0,LA RIBA DE ESCALOTE
2084Y,41.721847,-3.047008,960.0,UCERO
2092,41.589444,-3.086949,932.0,BURGO DE OSMA-POZUELOS
2096B,41.373609,-3.251385,1150.0,LICERAS-CAÑADA DEHESA
2106B,41.745847,-3.381929,955.0,CORUÑA DEL CONDE
2117D,41.665837,-3.742777,790.0,ARANDA DE DUERO
2135A,41.372756,-3.507234,993.0,FRESNO DE CANTIESPINO
2140A,41.464553,-3.785871,1135.0,ALDEANUEVA DE SERREZUELA-EL CERRO
2166Y,41.593099,-4.124787,756.0,PEÑAFIEL(FABRICA DE QUESOS)
2172Y,41.611879,-4.405497,725.0,SARDÓN DE DUERO
2182C,41.133861,-3.790216,1107.0,RADES
2243A,42.79806,-4.277134,910.0,AGUILAR DE CAMPOO
2276B,42.568819,-4.575109,908.0,VILLAELES DE VALDAVIA
2285B,42.523889,-4.001111,869.0,VILLADIEGO (DEPÓSITO DE AGUA)
2290Y,42.251226,-4.198909,771.0,PEDROSA DEL PRÍNCIPE
2296A,41.775556,-1.976675,1039.0,OLVEGA-CAMINO VEGAFRÍA
2298,41.959672,-3.131688,1080.0,PALACIOS DE LA SIERRA
2302N,42.146473,-3.109758,1197.0,MONTERRUBIO DE LA DEMANDA
2311Y,42.105221,-3.767707,884.0,VILLAMAYOR DE LOS MONTES
2331,42.356944,-3.620278,891.0,BURGOS/VILLAFRÍA
2362C,42.893772,-4.713714,1575.0,CAMPORREDONDO DE ALBA  CUEVA DORADA
2374X,42.350934,-4.617359,830.0,CARRIÓN DE LOS CONDES
2400E,41.99568,-4.602777,874.0,PALENCIA-AUTILLA PINO
2401X,42.009501,-4.560496,736.0,PALENCIA-GRANJA VIÑALTA
2422,41.640831,-4.754167,734.29,VALLADOLID
2422X,41.607159,-4.766619,688.0,VALLADOLID - VIVERO FORESTAL
2430Y,40.543313,-5.044091,1178.0,MUÑOTELLO
2444,40.659167,-4.679722,1129.76,ÁVILA
2453E,40.828965,-4.742033,920.0,GOTARRENDURA (AUTOMATICA)
2456B,41.071483,-4.729864,820.0,AREVALO
2462,40.793056,-4.010556,1892.6,NAVACERRADA PUERTO
